Date,YAHOO.INDEX_FCHI.4
2015-03-06,4964.35
2015-03-05,4963.51
2015-03-04,4917.35
2015-03-03,4869.25
2015-03-02,4917.32
2015-02-27,4951.48
2015-02-26,4910.62
2015-02-25,4882.22
2015-02-24,4886.44
2015-02-23,4862.3
2015-02-20,4830.9
2015-02-19,4833.28
2015-02-18,4799.03
2015-02-17,4753.99
2015-02-16,4751.95
2015-02-13,4759.36
2015-02-12,4726.2
2015-02-11,4679.38
2015-02-10,4695.65
2015-02-09,4651.08
2015-02-06,4691.03
2015-02-05,4703.3
2015-02-04,4696.3
2015-02-03,4677.9
2015-02-02,4627.67
2015-01-30,4604.25
2015-01-29,4631.43
2015-01-28,4610.94
2015-01-27,4624.21
2015-01-26,4675.13
2015-01-23,4640.69
2015-01-22,4552.8
2015-01-21,4484.82
2015-01-20,4446.02
2015-01-19,4394.93
2015-01-16,4379.62
2015-01-15,4323.2
2015-01-14,4223.24
2015-01-13,4290.28
2015-01-12,4228.24
2015-01-09,4179.07
2015-01-08,4260.19
2015-01-07,4112.73
2015-01-06,4083.5
2015-01-05,4111.36
2015-01-02,4252.29
2014-12-31,4272.75
2014-12-30,4245.54
2014-12-29,4317.93
2014-12-24,4295.85
2014-12-23,4314.97
2014-12-22,4254.43
2014-12-19,4241.65
2014-12-18,4249.49
2014-12-17,4111.91
2014-12-16,4093.2
2014-12-15,4005.38
2014-12-12,4108.93
2014-12-11,4225.86
2014-12-10,4227.91
2014-12-09,4263.94
2014-12-08,4375.48
2014-12-05,4419.48
2014-12-04,4323.89
2014-12-03,4391.86
2014-12-02,4388.3
2014-12-01,4377.33
2014-11-28,4390.18
2014-11-27,4382.34
2014-11-26,4373.42
2014-11-25,4382.31
2014-11-24,4368.44
2014-11-21,4347.23
2014-11-20,4234.21
2014-11-19,4266.19
2014-11-18,4262.38
2014-11-17,4226.1
2014-11-14,4202.46
2014-11-13,4187.95
2014-11-12,4179.88
2014-11-11,4244.1
2014-11-10,4222.82
2014-11-07,4189.89
2014-11-06,4227.68
2014-11-05,4208.42
2014-11-04,4130.19
2014-11-03,4194.03
2014-10-31,4233.09
2014-10-30,4141.24
2014-10-29,4110.64
2014-10-28,4112.67
2014-10-27,4096.74
2014-10-24,4128.9
2014-10-23,4157.68
2014-10-22,4105.09
2014-10-21,4081.24
2014-10-20,3991.24
2014-10-17,4033.18
2014-10-16,3918.62
2014-10-15,3939.72
2014-10-14,4088.25
2014-10-13,4078.7
2014-10-10,4073.71
2014-10-09,4141.45
2014-10-08,4168.12
2014-10-07,4209.14
2014-10-06,4286.52
2014-10-03,4281.74
2014-10-02,4242.67
2014-10-01,4365.27
2014-09-30,4416.24
2014-09-29,4358.07
2014-09-26,4394.75
2014-09-25,4355.28
2014-09-24,4413.72
2014-09-23,4359.35
2014-09-22,4442.55
2014-09-19,4461.22
2014-09-18,4464.7
2014-09-17,4431.41
2014-09-16,4409.15
2014-09-15,4428.63
2014-09-12,4441.7
2014-09-11,4440.9
2014-09-10,4450.79
2014-09-09,4452.37
2014-09-08,4474.93
2014-09-05,4486.49
2014-09-04,4494.94
2014-09-03,4421.87
2014-09-02,4378.33
2014-09-01,4379.73
2014-08-29,4381.04
2014-08-28,4366.04
2014-08-27,4395.26
2014-08-26,4393.41
2014-08-25,4342.11
2014-08-22,4252.8
2014-08-21,4292.93
2014-08-20,4240.79
2014-08-19,4254.45
2014-08-18,4230.65
2014-08-15,4174.36
2014-08-14,4205.43
2014-08-13,4194.79
2014-08-12,4162.16
2014-08-11,4197.7
2014-08-08,4147.81
2014-08-07,4149.83
2014-08-06,4207.14
2014-08-05,4232.88
2014-08-04,4217.22
2014-08-01,4202.78
2014-07-31,4246.14
2014-07-30,4312.3
2014-07-29,4365.58
2014-07-28,4344.77
2014-07-25,4330.55
2014-07-24,4410.65
2014-07-23,4376.32
2014-07-22,4369.52
2014-07-21,4304.74
2014-07-18,4335.31
2014-07-17,4316.12
2014-07-16,4369.06
2014-07-15,4305.31
