Date,YAHOO.INDEX_FTSE.4
2015-03-06,6911.8
2015-03-05,6961.1
2015-03-04,6919.2
2015-03-03,6889.1
2015-03-02,6940.6
2015-02-27,6946.7
2015-02-26,6949.7
2015-02-25,6935.4
2015-02-24,6949.6
2015-02-23,6912.2
2015-02-20,6915.2
2015-02-19,6888.9
2015-02-18,6898.1
2015-02-17,6898.1
2015-02-16,6857.1
2015-02-13,6873.5
2015-02-12,6828.1
2015-02-11,6818.2
2015-02-10,6829.1
2015-02-09,6837.2
2015-02-06,6853.4
2015-02-05,6865.9
2015-02-04,6860.0
2015-02-03,6871.8
2015-02-02,6782.6
2015-01-30,6749.4
2015-01-29,6810.6
2015-01-28,6825.9
2015-01-27,6811.6
2015-01-26,6852.4
2015-01-23,6832.8
2015-01-22,6796.6
2015-01-21,6728.0
2015-01-20,6620.1
2015-01-19,6585.5
2015-01-16,6550.3
2015-01-15,6498.8
2015-01-14,6388.5
2015-01-13,6542.2
2015-01-12,6501.4
2015-01-09,6501.1
2015-01-08,6570.0
2015-01-07,6419.8
2015-01-06,6366.5
2015-01-05,6417.2
2015-01-02,6547.8
2014-12-31,6566.1
2014-12-30,6547.0
2014-12-29,6633.5
2014-12-24,6609.9
2014-12-23,6598.2
2014-12-22,6576.7
2014-12-19,6545.3
2014-12-18,6466.0
2014-12-17,6336.5
2014-12-16,6331.8
2014-12-15,6182.7
2014-12-12,6300.6
2014-12-11,6461.7
2014-12-10,6500.0
2014-12-09,6529.5
2014-12-08,6672.2
2014-12-05,6742.8
2014-12-04,6679.4
2014-12-03,6716.6
2014-12-02,6742.1
2014-12-01,6656.4
2014-11-28,6722.6
2014-11-27,6723.4
2014-11-26,6729.2
2014-11-25,6731.1
2014-11-24,6729.8
2014-11-21,6750.8
2014-11-20,6678.9
2014-11-19,6696.6
2014-11-18,6709.1
2014-11-17,6672.0
2014-11-14,6654.4
2014-11-13,6635.5
2014-11-12,6611.0
2014-11-11,6627.4
2014-11-10,6611.3
2014-11-07,6567.2
2014-11-06,6551.2
2014-11-05,6539.1
2014-11-04,6454.0
2014-11-03,6488.0
2014-10-31,6546.5
2014-10-30,6463.6
2014-10-29,6453.9
2014-10-28,6402.2
2014-10-27,6363.5
2014-10-24,6388.7
2014-10-23,6419.2
2014-10-22,6399.7
2014-10-21,6372.3
2014-10-20,6267.1
2014-10-17,6310.3
2014-10-16,6195.9
2014-10-15,6211.6
2014-10-14,6392.7
2014-10-13,6366.2
2014-10-10,6340.0
2014-10-09,6431.9
2014-10-08,6482.2
2014-10-07,6495.6
2014-10-06,6563.7
2014-10-03,6527.9
2014-10-02,6446.4
2014-10-01,6557.5
2014-09-30,6622.7
2014-09-29,6646.6
2014-09-26,6649.4
2014-09-25,6639.7
2014-09-24,6706.3
2014-09-23,6676.1
2014-09-22,6773.6
2014-09-19,6837.9
2014-09-18,6819.3
2014-09-17,6780.9
2014-09-16,6792.2
2014-09-15,6804.2
2014-09-12,6807.0
2014-09-11,6799.6
2014-09-10,6830.1
2014-09-09,6829.0
2014-09-08,6834.8
2014-09-05,6855.1
2014-09-04,6878.0
2014-09-03,6873.6
2014-09-02,6829.2
2014-09-01,6825.3
2014-08-29,6819.8
2014-08-28,6805.8
2014-08-27,6830.7
2014-08-26,6822.8
2014-08-22,6775.3
2014-08-21,6777.7
2014-08-20,6755.5
2014-08-19,6779.3
2014-08-18,6741.3
2014-08-15,6689.1
2014-08-14,6685.3
2014-08-13,6656.7
2014-08-12,6632.4
2014-08-11,6632.8
2014-08-08,6567.4
2014-08-07,6597.4
2014-08-06,6636.2
2014-08-05,6682.5
2014-08-04,6677.5
2014-08-01,6679.2
2014-07-31,6730.1
2014-07-30,6773.4
2014-07-29,6807.8
2014-07-28,6788.1
2014-07-25,6791.6
2014-07-24,6821.5
2014-07-23,6798.2
2014-07-22,6795.3
2014-07-21,6728.4
2014-07-18,6749.5
2014-07-17,6738.3
2014-07-16,6784.7
2014-07-15,6710.5
2014-07-14,6746.1
2014-07-11,6690.2
2014-07-10,6672.4
2014-07-09,6718.0
2014-07-08,6738.5
2014-07-07,6823.5
2014-07-04,6866.1
2014-07-03,6865.2
2014-07-02,6816.4
2014-07-01,6802.9
2014-06-30,6743.9
2014-06-27,6757.8
2014-06-26,6735.1
2014-06-25,6733.6
2014-06-24,6787.1
2014-06-23,6800.6
2014-06-20,6825.2
2014-06-19,6808.1
2014-06-18,6778.6
2014-06-17,6766.8
2014-06-16,6754.6
2014-06-13,6777.9
2014-06-12,6843.1
2014-06-11,6838.9
2014-06-10,6873.6
2014-06-09,6875.0
2014-06-06,6858.2
2014-06-05,6813.5
2014-06-04,6818.6
2014-06-03,6836.3
2014-06-02,6864.1
2014-05-30,6844.5
2014-05-29,6871.3
2014-05-28,6851.2
2014-05-27,6844.9
2014-05-23,6815.8
2014-05-22,6820.6
2014-05-21,6821.0
2014-05-20,6802.0
2014-05-19,6844.6
2014-05-16,6855.8
2014-05-15,6840.9
2014-05-14,6878.5
2014-05-13,6873.1
2014-05-12,6851.8
2014-05-09,6814.6
2014-05-08,6839.3
2014-05-07,6796.4
2014-05-06,6798.6
2014-05-02,6822.4
2014-05-01,6808.9
2014-04-30,6780.0
2014-04-29,6769.9
2014-04-28,6700.2
2014-04-25,6685.7
2014-04-24,6703.0
2014-04-23,6674.7
2014-04-22,6681.8
2014-04-17,6625.3
2014-04-16,6584.2
2014-04-15,6541.6
2014-04-14,6583.8
2014-04-11,6561.7
2014-04-10,6642.0
2014-04-09,6635.6
2014-04-08,6590.7
2014-04-07,6622.8
2014-04-04,6695.6
2014-04-03,6649.1
2014-04-02,6659.0
2014-04-01,6652.6
2014-03-31,6598.4
2014-03-28,6615.6
2014-03-27,6588.3
2014-03-26,6605.3
2014-03-25,6604.9
2014-03-24,6520.4
2014-03-21,6557.2
2014-03-20,6542.4
2014-03-19,6573.1
2014-03-18,6605.3
2014-03-17,6568.4
2014-03-14,6527.9
2014-03-13,6553.8
2014-03-12,6620.9
2014-03-11,6685.5
2014-03-10,6689.5
2014-03-07,6712.7
2014-03-06,6788.5
2014-03-05,6775.4
2014-03-04,6823.8
2014-03-03,6708.4
2014-02-28,6809.7
2014-02-27,6810.3
2014-02-26,6799.2
2014-02-25,6830.5
2014-02-24,6865.9
2014-02-21,6838.1
2014-02-20,6813.0
2014-02-19,6796.7
2014-02-18,6796.4
2014-02-17,6736.0
2014-02-14,6663.6
2014-02-13,6659.4
2014-02-12,6675.0
2014-02-11,6672.7
2014-02-10,6591.6
2014-02-07,6571.7
2014-02-06,6558.3
2014-02-05,6457.9
2014-02-04,6449.3
2014-02-03,6465.7
2014-01-31,6510.4
2014-01-30,6538.5
2014-01-29,6544.3
2014-01-28,6572.3
2014-01-27,6550.7
2014-01-24,6663.7
2014-01-23,6773.3
2014-01-22,6826.3
2014-01-21,6834.3
2014-01-20,6836.7
2014-01-17,6829.3
2014-01-16,6815.4
2014-01-15,6819.9
2014-01-14,6766.9
2014-01-13,6757.2
2014-01-10,6739.9
2014-01-09,6691.3
2014-01-08,6721.8
2014-01-07,6755.5
2014-01-06,6730.7
2014-01-03,6730.7
2014-01-02,6717.9
2014-01-01,6749.1
2013-12-31,6749.1
2013-12-30,6731.3
2013-12-27,6750.9
2013-12-26,6694.2
2013-12-25,6694.2
2013-12-24,6694.2
2013-12-23,6678.6
2013-12-20,6606.6
2013-12-19,6584.7
2013-12-18,6492.1
2013-12-17,6486.2
2013-12-16,6522.2
2013-12-13,6440.0
2013-12-12,6445.3
2013-12-11,6507.7
2013-12-10,6523.3
2013-12-09,6559.5
2013-12-06,6552.0
2013-12-05,6498.3
2013-12-04,6510.0
2013-12-03,6532.4
2013-12-02,6595.3
2013-11-29,6650.6
2013-11-28,6654.5
2013-11-27,6649.5
2013-11-26,6636.2
2013-11-25,6694.6
2013-11-22,6674.3
2013-11-21,6681.3
2013-11-20,6681.1
2013-11-19,6698.0
2013-11-18,6723.5
2013-11-15,6693.4
2013-11-14,6666.1
2013-11-13,6630.0
2013-11-12,6726.8
2013-11-11,6728.4
2013-11-08,6708.4
2013-11-07,6697.2
2013-11-06,6741.7
2013-11-05,6746.8
2013-11-04,6763.6
2013-11-01,6734.7
2013-10-31,6731.4
2013-10-30,6777.7
2013-10-29,6774.7
2013-10-28,6725.8
2013-10-25,6721.3
2013-10-24,6713.2
2013-10-23,6674.5
2013-10-22,6695.7
2013-10-21,6654.2
2013-10-18,6622.6
2013-10-17,6576.2
2013-10-16,6571.6
2013-10-15,6549.1
2013-10-14,6507.7
2013-10-11,6487.2
2013-10-10,6430.5
2013-10-09,6337.9
2013-10-08,6365.8
2013-10-07,6437.3
2013-10-04,6453.9
2013-10-03,6449.0
2013-10-02,6437.5
2013-10-01,6460.0
2013-09-30,6462.2
2013-09-27,6512.7
2013-09-26,6565.6
2013-09-25,6551.5
2013-09-24,6571.5
2013-09-23,6557.4
2013-09-20,6596.4
2013-09-19,6625.4
2013-09-18,6558.8
2013-09-17,6570.2
2013-09-16,6622.9
2013-09-13,6583.8
2013-09-12,6589.0
2013-09-11,6588.4
2013-09-10,6584.0
2013-09-09,6530.7
2013-09-06,6547.3
2013-09-05,6532.4
2013-09-04,6474.7
2013-09-03,6468.4
2013-09-02,6506.2
2013-08-30,6412.9
2013-08-29,6483.1
2013-08-28,6430.1
2013-08-27,6441.0
2013-08-26,6492.1
2013-08-23,6492.1
2013-08-22,6446.9
2013-08-21,6390.8
2013-08-20,6453.5
2013-08-19,6465.7
2013-08-16,6500.0
2013-08-15,6483.3
2013-08-14,6587.4
2013-08-13,6611.9
2013-08-12,6574.3
2013-08-09,6583.4
2013-08-08,6529.7
2013-08-07,6511.2
2013-08-06,6604.2
2013-08-05,6619.6
2013-08-02,6647.9
2013-08-01,6682.0
2013-07-31,6621.1
2013-07-30,6571.0
2013-07-29,6560.3
2013-07-26,6554.8
2013-07-25,6588.0
2013-07-24,6620.4
2013-07-23,6597.4
2013-07-22,6623.2
2013-07-19,6630.7
2013-07-18,6634.4
2013-07-17,6571.9
2013-07-16,6556.4
2013-07-15,6586.1
2013-07-12,6544.9
2013-07-11,6543.4
2013-07-10,6505.0
2013-07-09,6513.1
2013-07-08,6450.1
2013-07-05,6375.5
2013-07-04,6421.7
2013-07-03,6229.9
2013-07-02,6303.9
2013-07-01,6307.8
2013-06-28,6215.5
2013-06-27,6243.4
2013-06-26,6165.5
2013-06-25,6101.9
2013-06-24,6029.1
2013-06-21,6116.2
2013-06-20,6159.5
2013-06-19,6348.8
2013-06-18,6374.2
2013-06-17,6330.5
2013-06-14,6308.3
2013-06-13,6304.6
2013-06-12,6299.5
2013-06-11,6340.1
2013-06-10,6400.5
2013-06-07,6412.0
2013-06-06,6336.1
2013-06-05,6419.3
2013-06-04,6558.6
2013-06-03,6525.1
2013-05-31,6583.1
2013-05-30,6657.0
2013-05-29,6627.2
2013-05-28,6762.0
2013-05-27,6654.3
2013-05-24,6654.3
2013-05-23,6696.8
2013-05-22,6840.3
2013-05-21,6803.9
2013-05-20,6755.6
2013-05-17,6723.1
2013-05-16,6687.8
2013-05-15,6693.6
2013-05-14,6686.1
2013-05-13,6631.8
2013-05-10,6625.0
2013-05-09,6592.7
2013-05-08,6583.5
2013-05-07,6557.3
2013-05-06,6521.5
2013-05-03,6521.5
2013-05-02,6460.7
2013-05-01,6451.3
2013-04-30,6430.1
2013-04-29,6458.0
2013-04-26,6426.4
2013-04-25,6442.6
2013-04-24,6431.8
2013-04-23,6406.1
2013-04-22,6280.6
2013-04-19,6286.6
2013-04-18,6243.7
2013-04-17,6244.2
2013-04-16,6304.6
2013-04-15,6343.6
2013-04-12,6384.4
2013-04-11,6416.1
2013-04-10,6387.4
2013-04-09,6313.2
2013-04-08,6276.9
2013-04-05,6249.8
2013-04-04,6344.1
2013-04-03,6420.3
2013-04-02,6490.7
2013-04-01,6411.7
2013-03-29,6411.7
2013-03-28,6411.7
2013-03-27,6387.6
2013-03-26,6399.4
2013-03-25,6378.4
2013-03-22,6392.8
2013-03-21,6388.6
2013-03-20,6432.7
2013-03-19,6441.3
2013-03-18,6457.9
2013-03-15,6489.7
2013-03-14,6529.4
2013-03-13,6481.5
2013-03-12,6510.6
2013-03-11,6503.6
2013-03-08,6483.6
2013-03-07,6439.2
2013-03-06,6427.6
2013-03-05,6432.0
2013-03-04,6345.6
2013-03-01,6378.6
2013-02-28,6360.8
2013-02-27,6325.9
2013-02-26,6270.4
2013-02-25,6355.4
2013-02-22,6335.7
2013-02-21,6291.5
2013-02-20,6395.4
2013-02-19,6379.1
2013-02-18,6318.2
2013-02-15,6328.3
2013-02-14,6327.4
2013-02-13,6359.1
2013-02-12,6338.4
2013-02-11,6277.1
2013-02-08,6263.9
2013-02-07,6228.4
2013-02-06,6295.3
2013-02-05,6282.8
2013-02-04,6246.8
2013-02-01,6347.2
2013-01-31,6276.9
2013-01-30,6323.1
2013-01-29,6339.2
2013-01-28,6294.4
2013-01-25,6284.5
2013-01-24,6264.9
2013-01-23,6197.6
2013-01-22,6179.2
2013-01-21,6181.0
2013-01-18,6154.4
2013-01-17,6132.4
2013-01-16,6104.0
2013-01-15,6117.3
2013-01-14,6107.9
2013-01-11,6121.6
2013-01-10,6101.5
2013-01-09,6098.7
2013-01-08,6053.6
2013-01-07,6064.6
2013-01-04,6089.8
2013-01-03,6047.3
2013-01-02,6027.4
2013-01-01,5897.8
2012-12-31,5897.8
2012-12-28,5925.4
2012-12-27,5954.3
2012-12-26,5954.2
2012-12-25,5954.2
2012-12-24,5954.2
2012-12-21,5940.0
2012-12-20,5958.3
2012-12-19,5961.6
2012-12-18,5935.9
2012-12-17,5912.2
2012-12-14,5921.8
2012-12-13,5929.6
2012-12-12,5945.9
2012-12-11,5925.0
2012-12-10,5921.6
2012-12-07,5914.4
2012-12-06,5901.4
2012-12-05,5892.1
2012-12-04,5869.0
2012-12-03,5871.2
2012-11-30,5866.8
2012-11-29,5870.3
2012-11-28,5803.3
2012-11-27,5799.7
2012-11-26,5786.7
2012-11-23,5819.1
2012-11-22,5791.0
2012-11-21,5752.0
2012-11-20,5748.1
2012-11-19,5737.7
2012-11-16,5605.6
2012-11-15,5677.8
2012-11-14,5722.0
2012-11-13,5786.3
2012-11-12,5767.3
2012-11-09,5769.7
2012-11-08,5776.1
2012-11-07,5791.6
2012-11-06,5884.9
2012-11-05,5839.1
2012-11-02,5868.6
2012-11-01,5861.9
2012-10-31,5782.7
2012-10-30,5849.9
2012-10-29,5795.1
2012-10-26,5806.7
2012-10-25,5805.1
2012-10-24,5804.8
2012-10-23,5797.9
2012-10-22,5882.9
2012-10-19,5896.2
2012-10-18,5917.1
2012-10-17,5910.9
2012-10-16,5870.5
2012-10-15,5805.6
2012-10-12,5793.3
2012-10-11,5829.8
2012-10-10,5776.7
2012-10-09,5810.3
2012-10-08,5841.7
2012-10-05,5871.0
2012-10-04,5827.8
2012-10-03,5825.8
2012-10-02,5809.5
2012-10-01,5820.5
2012-09-28,5742.1
2012-09-27,5779.4
2012-09-26,5768.1
2012-09-25,5859.7
2012-09-24,5838.8
2012-09-21,5852.6
2012-09-20,5854.6
2012-09-19,5888.5
2012-09-18,5868.2
2012-09-17,5893.5
2012-09-14,5915.6
2012-09-13,5819.9
2012-09-12,5782.1
2012-09-11,5792.2
2012-09-10,5793.2
2012-09-07,5794.8
2012-09-06,5777.3
2012-09-05,5657.9
2012-09-04,5672.0
2012-09-03,5758.4
2012-08-31,5711.5
2012-08-30,5719.5
2012-08-29,5743.5
2012-08-28,5775.7
2012-08-27,5776.6
2012-08-24,5776.6
2012-08-23,5776.6
2012-08-22,5774.2
2012-08-21,5857.5
2012-08-20,5824.4
2012-08-17,5852.4
2012-08-16,5834.5
2012-08-15,5833.0
2012-08-14,5864.8
2012-08-13,5831.9
2012-08-10,5847.1
