Date,YAHOO.INDEX_GDAXI.4
2015-03-06,11550.97
2015-03-05,11504.01
2015-03-04,11390.38
2015-03-03,11280.36
2015-03-02,11410.36
2015-02-27,11401.66
2015-02-26,11327.19
2015-02-25,11210.27
2015-02-24,11205.74
2015-02-23,11130.92
2015-02-20,11050.64
2015-02-19,11001.94
2015-02-18,10961.0
2015-02-17,10895.62
2015-02-16,10923.23
2015-02-13,10963.4
2015-02-12,10919.65
2015-02-11,10752.11
2015-02-10,10753.83
2015-02-09,10663.51
2015-02-06,10846.39
2015-02-05,10905.41
2015-02-04,10911.32
2015-02-03,10890.95
2015-02-02,10828.01
2015-01-30,10694.32
2015-01-29,10737.87
2015-01-28,10710.97
2015-01-27,10628.58
2015-01-26,10798.33
2015-01-23,10649.58
2015-01-22,10435.62
2015-01-21,10299.23
2015-01-20,10257.13
2015-01-19,10242.35
2015-01-16,10167.77
2015-01-15,10032.61
2015-01-14,9817.08
2015-01-13,9941.0
2015-01-12,9781.9
2015-01-09,9648.5
2015-01-08,9837.61
2015-01-07,9518.18
2015-01-06,9469.66
2015-01-05,9473.16
2015-01-02,9764.73
2014-12-30,9805.55
2014-12-29,9927.13
2014-12-23,9922.11
2014-12-22,9865.76
2014-12-19,9786.96
2014-12-18,9811.06
2014-12-17,9544.43
2014-12-16,9563.89
2014-12-15,9334.01
2014-12-12,9594.73
2014-12-11,9862.53
2014-12-10,9799.73
2014-12-09,9793.71
2014-12-08,10014.99
2014-12-05,10087.12
2014-12-04,9851.35
2014-12-03,9971.79
2014-12-02,9934.08
2014-12-01,9963.51
2014-11-28,9980.85
2014-11-27,9974.87
2014-11-26,9915.56
2014-11-25,9861.21
2014-11-24,9785.54
2014-11-21,9732.55
2014-11-20,9483.97
2014-11-19,9472.8
2014-11-18,9456.53
2014-11-17,9306.35
2014-11-14,9252.94
2014-11-13,9248.51
2014-11-12,9210.96
2014-11-11,9369.03
2014-11-10,9351.87
2014-11-07,9291.83
2014-11-06,9377.41
2014-11-05,9315.48
2014-11-04,9166.47
2014-11-03,9251.7
2014-10-31,9326.87
2014-10-30,9114.84
2014-10-29,9082.81
2014-10-28,9068.19
2014-10-27,8902.61
2014-10-24,8987.8
2014-10-23,9047.31
2014-10-22,8940.14
2014-10-21,8886.96
2014-10-20,8717.76
2014-10-17,8850.27
2014-10-16,8582.9
2014-10-15,8571.95
2014-10-14,8825.21
2014-10-13,8812.43
2014-10-10,8788.81
2014-10-09,9005.02
2014-10-08,8995.33
2014-10-07,9086.21
2014-10-06,9209.51
2014-10-02,9195.68
2014-10-01,9382.03
2014-09-30,9474.3
2014-09-29,9422.91
2014-09-26,9490.55
2014-09-25,9510.01
2014-09-24,9661.97
2014-09-23,9595.03
2014-09-22,9749.54
2014-09-19,9799.26
2014-09-18,9798.13
2014-09-17,9661.5
2014-09-16,9632.93
2014-09-15,9659.63
2014-09-12,9651.13
2014-09-11,9691.28
2014-09-10,9700.17
2014-09-09,9710.7
2014-09-08,9758.03
2014-09-05,9747.02
2014-09-04,9724.26
2014-09-03,9626.49
2014-09-02,9507.02
2014-09-01,9479.03
2014-08-29,9470.17
2014-08-28,9462.56
