Date,YAHOO.INDEX_SSEC.4
2015-03-06,3241.19
2015-03-05,3248.48
2015-03-04,3279.53
2015-03-03,3263.05
2015-03-02,3336.28
2015-02-27,3310.3
2015-02-26,3298.36
2015-02-25,3228.84
2015-02-24,3246.91
2015-02-23,3246.91
2015-02-20,3246.91
2015-02-18,3246.91
2015-02-17,3246.91
2015-02-16,3222.36
2015-02-13,3203.83
2015-02-12,3173.42
2015-02-11,3157.7
2015-02-10,3141.59
2015-02-09,3095.12
2015-02-06,3075.91
2015-02-05,3136.53
2015-02-04,3174.13
2015-02-03,3204.91
2015-02-02,3128.3
2015-01-30,3210.36
2015-01-29,3262.3
2015-01-28,3305.74
2015-01-27,3352.96
2015-01-26,3383.18
2015-01-23,3351.76
2015-01-22,3343.34
2015-01-21,3323.61
2015-01-20,3173.05
2015-01-19,3116.35
2015-01-16,3376.5
2015-01-15,3336.46
2015-01-14,3222.44
2015-01-13,3235.3
2015-01-12,3229.32
2015-01-09,3285.41
2015-01-08,3293.46
2015-01-07,3373.95
2015-01-06,3351.45
2015-01-05,3350.52
2015-01-02,3234.68
2014-12-31,3234.68
2014-12-30,3165.81
2014-12-29,3168.02
2014-12-26,3157.6
2014-12-24,2972.53
2014-12-23,3032.61
2014-12-22,3127.45
2014-12-19,3108.6
2014-12-18,3057.52
2014-12-17,3061.02
2014-12-16,3021.52
2014-12-15,2953.42
2014-12-12,2938.17
2014-12-11,2926.66
2014-12-10,2940.88
2014-12-09,2859.92
2014-12-08,3021.52
2014-12-05,2938.78
2014-12-04,2900.36
2014-12-03,2779.74
2014-12-02,2763.32
2014-12-01,2680.74
2014-11-28,2682.92
2014-11-27,2630.05
2014-11-26,2604.89
2014-11-25,2567.6
2014-11-24,2533.89
2014-11-21,2487.11
2014-11-20,2452.62
2014-11-19,2451.17
2014-11-18,2457.53
2014-11-17,2475.12
2014-11-14,2479.19
2014-11-13,2486.67
2014-11-12,2494.28
2014-11-11,2470.59
2014-11-10,2473.18
2014-11-07,2419.15
2014-11-06,2425.81
2014-11-05,2420.4
2014-11-04,2430.74
2014-11-03,2430.97
2014-10-31,2420.18
2014-10-30,2391.08
2014-10-29,2373.03
2014-10-28,2337.87
2014-10-27,2290.44
2014-10-24,2302.28
2014-10-23,2302.42
2014-10-22,2326.55
2014-10-21,2339.66
2014-10-20,2356.73
2014-10-17,2341.18
2014-10-16,2356.5
2014-10-15,2373.67
2014-10-14,2359.48
2014-10-13,2366.01
2014-10-10,2374.54
2014-10-09,2389.37
2014-10-08,2382.79
2014-09-30,2363.87
2014-09-29,2357.71
2014-09-26,2347.72
2014-09-25,2345.1
2014-09-24,2343.57
2014-09-23,2309.72
2014-09-22,2289.87
2014-09-19,2329.45
2014-09-18,2315.93
2014-09-17,2307.89
2014-09-16,2296.55
2014-09-15,2339.14
2014-09-12,2331.95
2014-09-11,2311.68
2014-09-10,2318.3
2014-09-09,2326.53
2014-09-05,2326.43
2014-09-04,2306.86
2014-09-03,2288.63
2014-09-02,2266.05
2014-09-01,2235.51
2014-08-29,2217.2
2014-08-28,2195.82
2014-08-27,2209.47
2014-08-26,2207.11
2014-08-25,2229.27
2014-08-22,2240.81
2014-08-21,2230.46
2014-08-20,2240.21
2014-08-19,2245.33
2014-08-18,2239.47
2014-08-15,2226.73
2014-08-14,2206.47
2014-08-13,2222.88
2014-08-12,2221.59
2014-08-11,2224.65
2014-08-08,2194.43
2014-08-07,2187.67
2014-08-06,2217.47
2014-08-05,2219.95
2014-08-04,2223.33
2014-08-01,2185.3
2014-07-31,2201.56
2014-07-30,2181.24
2014-07-29,2183.19
2014-07-28,2177.95
2014-07-25,2126.61
2014-07-24,2105.06
2014-07-23,2078.49
2014-07-22,2075.48
2014-07-21,2054.48
2014-07-18,2059.07
2014-07-17,2055.59
2014-07-16,2067.28
2014-07-15,2070.36
2014-07-14,2066.65
2014-07-11,2046.96
2014-07-10,2038.34
2014-07-09,2038.61
2014-07-08,2064.02
2014-07-07,2059.93
2014-07-04,2059.38
2014-07-03,2063.23
2014-07-02,2059.42
2014-07-01,2050.38
2014-06-30,2048.33
2014-06-27,2036.51
2014-06-26,2038.68
2014-06-25,2025.5
2014-06-24,2033.93
2014-06-23,2024.36
2014-06-20,2026.67
2014-06-19,2023.73
2014-06-18,2055.52
2014-06-17,2066.7
2014-06-16,2085.98
2014-06-13,2070.72
2014-06-12,2051.71
2014-06-11,2054.95
2014-06-10,2052.53
2014-06-09,2030.5
2014-06-06,2029.96
2014-06-05,2040.88
2014-06-04,2024.83
2014-06-03,2038.31
2014-05-30,2039.21
2014-05-29,2040.59
2014-05-28,2050.23
2014-05-27,2034.56
2014-05-26,2041.48
2014-05-23,2034.57
2014-05-22,2021.29
2014-05-21,2024.95
2014-05-20,2008.12
2014-05-19,2005.18
2014-05-16,2026.5
2014-05-15,2024.97
2014-05-14,2047.91
2014-05-13,2050.73
2014-05-12,2052.87
2014-05-09,2011.14
2014-05-08,2015.27
2014-05-07,2010.08
2014-05-06,2028.04
2014-05-05,2027.35
2014-04-30,2026.36
2014-04-29,2020.34
2014-04-28,2003.49
2014-04-25,2036.52
2014-04-24,2057.03
2014-04-23,2067.38
2014-04-22,2072.83
2014-04-21,2065.83
2014-04-18,2097.75
2014-04-17,2098.89
2014-04-16,2105.12
2014-04-15,2101.6
2014-04-14,2131.54
2014-04-11,2130.54
2014-04-10,2134.3
2014-04-09,2105.24
2014-04-08,2098.28
2014-04-04,2058.83
2014-04-03,2043.7
2014-04-02,2058.99
2014-04-01,2047.46
2014-03-31,2033.31
2014-03-28,2041.71
2014-03-27,2046.59
2014-03-26,2063.67
2014-03-25,2067.31
2014-03-24,2066.28
2014-03-21,2047.62
2014-03-20,1993.48
2014-03-19,2021.73
2014-03-18,2025.2
2014-03-17,2023.67
2014-03-14,2004.34
2014-03-13,2019.11
2014-03-12,1997.69
2014-03-11,2001.16
2014-03-10,1999.06
2014-03-07,2057.91
2014-03-06,2059.58
2014-03-05,2053.08
2014-03-04,2071.47
2014-03-03,2075.24
2014-02-28,2056.3
2014-02-27,2047.35
2014-02-26,2041.25
2014-02-25,2034.22
2014-02-24,2076.69
2014-02-21,2113.69
2014-02-20,2138.78
2014-02-19,2142.55
2014-02-18,2119.07
2014-02-17,2135.42
2014-02-14,2115.85
2014-02-13,2098.4
2014-02-12,2109.96
2014-02-11,2103.67
2014-02-10,2086.07
2014-02-07,2044.5
2014-01-30,2033.08
2014-01-29,2049.91
2014-01-28,2038.51
2014-01-27,2033.3
2014-01-24,2054.39
2014-01-23,2042.18
2014-01-22,2051.75
2014-01-21,2008.31
2014-01-20,1991.25
2014-01-17,2004.95
2014-01-16,2023.7
2014-01-15,2023.35
2014-01-14,2026.84
2014-01-13,2009.56
2014-01-10,2013.3
2014-01-09,2027.62
2014-01-08,2044.34
2014-01-07,2047.32
2014-01-06,2045.71
2014-01-03,2083.14
2014-01-02,2109.39
2013-12-31,2115.98
2013-12-30,2097.53
2013-12-27,2101.25
2013-12-26,2073.1
2013-12-25,2106.35
2013-12-24,2092.91
2013-12-23,2089.71
2013-12-20,2084.79
2013-12-19,2127.79
2013-12-18,2148.28
2013-12-17,2151.08
2013-12-16,2160.86
2013-12-13,2196.07
2013-12-12,2202.8
2013-12-11,2204.17
2013-12-10,2237.49
2013-12-09,2238.2
2013-12-06,2237.11
2013-12-05,2247.06
2013-12-04,2251.76
2013-12-03,2222.67
2013-12-02,2207.37
2013-11-29,2220.5
2013-11-28,2219.37
2013-11-27,2201.07
2013-11-26,2183.07
2013-11-25,2186.11
2013-11-22,2196.38
2013-11-21,2205.77
2013-11-20,2206.61
2013-11-19,2193.12
2013-11-18,2197.22
2013-11-15,2135.83
2013-11-14,2100.51
2013-11-13,2087.94
2013-11-12,2126.77
2013-11-11,2109.47
2013-11-08,2106.13
2013-11-07,2129.4
2013-11-06,2139.61
2013-11-05,2157.24
2013-11-04,2149.63
2013-11-01,2149.56
2013-10-31,2141.61
2013-10-30,2160.46
2013-10-29,2128.86
2013-10-28,2133.87
2013-10-25,2132.96
2013-10-24,2164.32
2013-10-23,2183.11
